"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Fully adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Ln Pro-inflammatory cytokines/IL-10","Length velocity Year 1 to Year 2","520","0.96","1.55","0.81","0.8","0 (-0.01, 0.01)","0.5","0.83","0.8","0.8","0 (-0.01, 0.01)","0.58","0.78"
"4","","Weight velocity (kg/month) Year 1 to Year 2","522","0.96","1.55","0.15","0.15","0 (-0.01, 0)","0.05","0.6","0.15","0.15","0 (-0.01, 0)","0.02","0.55"
"5","","Head circumference velocity (cm/month) Year 1 to Year 2","520","0.96","1.55","0.15","0.14","-0.01 (-0.01, 0)","0.13","0.6","0.15","0.15","-0.01 (-0.01, 0)","0.12","0.72"
"6","","","","","","","","","","","","","","",""
"7","Ln IL-2/IL-10","Length velocity Year 1 to Year 2","515","-3.21","-1.93","0.81","0.8","0 (-0.01, 0.01)","0.36","0.73","0.81","0.8","0 (-0.01, 0.01)","0.52","0.78"
"8","","Weight velocity (kg/month) Year 1 to Year 2","517","-3.2","-1.92","0.15","0.15","0 (-0.01, 0)","0.29","0.62","0.15","0.15","0 (-0.01, 0)","0.31","0.72"
"9","","Head circumference velocity (cm/month) Year 1 to Year 2","515","-3.21","-1.93","0.14","0.16","0.02 (0, 0.03)","0.06","0.6","0.15","0.16","0.01 (0, 0.03)","0.16","0.72"
"10","","","","","","","","","","","","","","",""
"11","Ln GM-CSF/IL-10","Length velocity Year 1 to Year 2","523","1.17","2.35","0.81","0.8","0 (-0.02, 0.01)","0.66","0.83","0.8","0.8","0 (-0.01, 0.01)","0.78","0.91"
"12","","Weight velocity (kg/month) Year 1 to Year 2","525","1.17","2.34","0.15","0.15","0 (0, 0.01)","0.11","0.6","0.15","0.15","0 (0, 0.01)","0.51","0.78"
"13","","Head circumference velocity (cm/month) Year 1 to Year 2","523","1.17","2.35","0.15","0.14","-0.01 (-0.02, 0)","0.15","0.6","0.15","0.15","0 (-0.01, 0)","0.38","0.76"
"14","","","","","","","","","","","","","","",""
"15","Ln Th1/IL-10","Length velocity Year 1 to Year 2","522","0.86","1.35","0.81","0.81","0 (-0.01, 0.01)","0.67","0.83","0.81","0.8","0 (-0.01, 0)","0.34","0.72"
"16","","Weight velocity (kg/month) Year 1 to Year 2","524","0.86","1.35","0.15","0.15","0 (0, 0)","0.19","0.6","0.15","0.15","0 (-0.01, 0)","0.07","0.68"
"17","","Head circumference velocity (cm/month) Year 1 to Year 2","522","0.86","1.35","0.14","0.15","0 (0, 0.01)","0.22","0.6","0.15","0.15","0 (0, 0.01)","0.44","0.78"
"18","","","","","","","","","","","","","","",""
"19","Ln Th2/IL-10","Length velocity Year 1 to Year 2","521","0.5","1.21","0.8","0.81","0 (-0.01, 0.01)","0.63","0.83","0.8","0.8","0 (-0.01, 0.01)","0.9","0.92"
"20","","Weight velocity (kg/month) Year 1 to Year 2","523","0.5","1.21","0.15","0.15","0 (-0.01, 0)","0.25","0.61","0.15","0.15","0 (-0.01, 0)","0.16","0.72"
"21","","Head circumference velocity (cm/month) Year 1 to Year 2","521","0.5","1.21","0.14","0.15","0.01 (0, 0.02)","0.17","0.6","0.14","0.16","0.01 (0, 0.02)","0.07","0.68"
"22","","","","","","","","","","","","","","",""
"23","Ln Th17/IL-10","Length velocity Year 1 to Year 2","515","0.35","1.07","0.81","0.8","-0.01 (-0.02, 0)","0.23","0.6","0.8","0.79","-0.01 (-0.02, 0)","0.31","0.72"
"24","","Weight velocity (kg/month) Year 1 to Year 2","517","0.34","1.07","0.15","0.15","0 (-0.01, 0)","0.29","0.62","0.15","0.15","0 (-0.01, 0)","0.1","0.72"
"25","","Head circumference velocity (cm/month) Year 1 to Year 2","515","0.35","1.07","0.15","0.14","0 (-0.01, 0.01)","0.56","0.83","0.15","0.15","-0.01 (-0.01, 0)","0.23","0.72"
"26","","","","","","","","","","","","","","",""
"27","Ln Th1/Th2","Length velocity Year 1 to Year 2","521","0.03","0.5","0.81","0.8","0 (-0.02, 0.01)","0.53","0.83","0.8","0.8","-0.01 (-0.02, 0.01)","0.31","0.72"
"28","","Weight velocity (kg/month) Year 1 to Year 2","523","0.03","0.5","0.15","0.15","0 (0, 0)","0.94","0.97","0.15","0.15","0 (0, 0)","0.71","0.88"
"29","","Head circumference velocity (cm/month) Year 1 to Year 2","521","0.03","0.5","0.14","0.15","0 (0, 0.01)","0.74","0.86","0.15","0.15","0 (0, 0.01)","0.71","0.88"
"30","","","","","","","","","","","","","","",""
"31","Ln Th1/Th17","Length velocity Year 1 to Year 2","515","0.18","0.7","0.8","0.81","0.01 (0, 0.02)","0.21","0.6","0.8","0.8","0 (-0.01, 0.02)","0.59","0.78"
"32","","Weight velocity (kg/month) Year 1 to Year 2","517","0.18","0.7","0.16","0.15","-0.01 (-0.02, 0)","0.11","0.6","0.16","0.15","-0.01 (-0.02, 0)","0.24","0.72"
"33","","Head circumference velocity (cm/month) Year 1 to Year 2","515","0.18","0.7","0.14","0.15","0 (0, 0.01)","0.22","0.6","0.15","0.15","0 (0, 0.01)","0.08","0.68"
"34","","","","","","","","","","","","","","",""
"35","Ln AGP","Length velocity Year 1 to Year 2","470","6.62","7.24","0.8","0.78","-0.01 (-0.03, 0)","0.08","0.6","0.76","0.75","-0.01 (-0.02, 0.01)","0.58","0.78"
"36","","Weight velocity (kg/month) Year 1 to Year 2","472","6.62","7.24","0.15","0.15","0 (-0.01, 0.01)","0.8","0.87","0.15","0.16","0 (-0.01, 0.01)","0.95","0.95"
"37","","Head circumference velocity (cm/month) Year 1 to Year 2","470","6.62","7.24","0.14","0.15","0 (-0.01, 0.01)","0.77","0.87","0.13","0.14","0 (0, 0.01)","0.55","0.78"
"38","","","","","","","","","","","","","","",""
"39","Ln CRP","Length velocity Year 1 to Year 2","480","5.85","8.04","0.81","0.8","-0.01 (-0.03, 0)","0.09","0.6","0.81","0.8","-0.01 (-0.02, 0.01)","0.28","0.72"
"40","","Weight velocity (kg/month) Year 1 to Year 2","481","5.84","8.04","0.15","0.15","0 (-0.01, 0)","0.57","0.83","0.15","0.15","0 (-0.01, 0)","0.79","0.91"
"41","","Head circumference velocity (cm/month) Year 1 to Year 2","480","5.85","8.04","0.14","0.14","0 (-0.01, 0.01)","0.99","0.99","0.14","0.14","0 (-0.01, 0.01)","0.58","0.78"
"42","","","","","","","","","","","","","","",""
"43","Ln IFN-y","Length velocity Year 1 to Year 2","524","1.73","2.35","0.79","0.8","0.01 (-0.02, 0.04)","0.69","0.83","0.79","0.78","0 (-0.03, 0.03)","0.84","0.91"
"44","","Weight velocity (kg/month) Year 1 to Year 2","526","1.73","2.35","0.15","0.15","0 (0, 0)","0.59","0.83","0.15","0.15","0 (0, 0.01)","0.33","0.72"
"45","","Head circumference velocity (cm/month) Year 1 to Year 2","524","1.73","2.35","0.15","0.15","0 (-0.01, 0.01)","0.62","0.83","0.15","0.15","0 (-0.01, 0.01)","0.87","0.92"
"46","","","","","","","","","","","","","","",""
"47","Sum score of 13 cytokines","Length velocity Year 1 to Year 2","524","-0.63","0.7","0.81","0.81","0 (-0.02, 0.01)","0.6","0.83","0.8","0.79","0 (-0.02, 0.01)","0.48","0.78"
"48","","Weight velocity (kg/month) Year 1 to Year 2","526","-0.63","0.69","0.15","0.15","0 (0, 0.01)","0.39","0.73","0.15","0.15","0 (0, 0.01)","0.18","0.72"
