"","name","Outcome","N","25th Percentile","75th Percentile","Outcome, 75th Percentile v. 25th Percentile"," "," "," "
"1"," "," "," "," "," ","Adjusted"," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value"
"3","Ln AGP","LAZ Year 1","513","-0.29","0.32","-1.04","-1.14","-0.1 (-0.33, 0.13)","0.39"
"4","","WAZ Year 1","512","-0.3","0.32","-1.15","-1.16","-0.01 (-0.22, 0.2)","0.91"
"5","","WLZ Year 1","512","-0.3","0.32","-0.78","-0.8","-0.02 (-0.17, 0.12)","0.74"
"6","","HCZ Year 1","513","-0.29","0.32","-1.69","-2.11","-0.43 (-0.67, -0.19)","0"
"7","","LAZ Year 2","455","-0.28","0.32","-1.64","-1.66","-0.02 (-0.09, 0.06)","0.68"
"8","","WAZ Year 2","466","-0.28","0.33","-1.45","-1.44","0.01 (-0.11, 0.13)","0.83"
"9","","WLZ Year 2","459","-0.29","0.32","-1.07","-1.04","0.03 (-0.14, 0.2)","0.75"
"10","","HCZ Year 2","465","-0.27","0.33","-2.04","-1.91","0.12 (0, 0.24)","0.06"
"11","","Length velocity Year 1 to Year 2","464","-0.28","0.33","0.76","0.75","-0.01 (-0.02, 0.01)","0.58"
"12","","Weight velocity (kg/month) Year 1 to Year 2","466","-0.28","0.33","0.15","0.16","0 (-0.01, 0.01)","0.95"
"13","","Head circumference velocity (cm/month) Year 1 to Year 2","469","-0.28","0.33","0.13","0.14","0.01 (0, 0.03)","0.08"
"14","","Change in LAZ Year 1 to Year 2","468","-0.29","0.33","-0.15","-0.14","0.02 (-0.05, 0.08)","0.64"
"15","","Change in WAZ from Year 1 to Year 2","472","-0.29","0.33","-0.24","-0.22","0.03 (-0.11, 0.17)","0.72"
"16","","Change in WLZ from Year 1 to Year 2","466","-0.27","0.33","-0.13","-0.08","0.05 (-0.1, 0.21)","0.5"
"17","","Change in HCZ from Year 1 to Year 2","449","-0.27","0.33","-0.25","-0.09","0.15 (0.04, 0.26)","0.01"
"18","","","","","","","","",""
"19","Ln CRP","LAZ Year 1","528","-1.07","1.16","-1.25","-1.49","-0.24 (-0.48, -0.01)","0.04"
"20","","WAZ Year 1","528","-1.07","1.16","-0.88","-1.17","-0.29 (-0.54, -0.05)","0.02"
"21","","WLZ Year 1","528","-1.07","1.16","-0.49","-0.59","-0.1 (-0.24, 0.03)","0.13"
"22","","HCZ Year 1","528","-1.07","1.16","-1.59","-1.7","-0.11 (-0.21, -0.01)","0.03"
"23","","LAZ Year 2","470","-1.06","1.16","-1.53","-1.56","-0.04 (-0.1, 0.03)","0.27"
"24","","WAZ Year 2","476","-1.06","1.15","-1.62","-1.64","-0.02 (-0.08, 0.04)","0.5"
"25","","WLZ Year 2","474","-1.07","1.16","-1.09","-1.08","0.01 (-0.07, 0.08)","0.85"
"26","","HCZ Year 2","475","-1.05","1.16","-1.94","-1.95","0 (-0.11, 0.11)","0.99"
"27","","Length velocity Year 1 to Year 2","475","-1.05","1.16","0.81","0.8","-0.01 (-0.02, 0.01)","0.27"
"28","","Weight velocity (kg/month) Year 1 to Year 2","476","-1.06","1.15","0.15","0.15","0 (-0.01, 0)","0.79"
"29","","Head circumference velocity (cm/month) Year 1 to Year 2","479","-1.06","1.14","0.14","0.14","0 (-0.01, 0.01)","0.65"
"30","","Change in LAZ Year 1 to Year 2","479","-1.06","1.14","-0.21","-0.21","0 (-0.06, 0.06)","0.99"
"31","","Change in WAZ from Year 1 to Year 2","481","-1.06","1.13","-0.36","-0.33","0.04 (-0.03, 0.1)","0.26"
"32","","Change in WLZ from Year 1 to Year 2","476","-1.05","1.15","-0.18","-0.13","0.05 (-0.03, 0.13)","0.23"
"33","","Change in HCZ from Year 1 to Year 2","458","-1.03","1.16","-0.28","-0.26","0.02 (-0.08, 0.12)","0.71"
