"","name","Outcome","N","25th Percentile","75th Percentile","Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "
"1"," "," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Ln AGP","LAZ Year 2","783","-0.54","0.06","-1.41","-1.43","-0.02 (-0.07, 0.04)","0.54","0.9"
"4","","WAZ Year 2","814","-0.54","0.06","-1.66","-1.69","-0.04 (-0.11, 0.04)","0.34","0.72"
"5","","WLZ Year 2","829","-0.54","0.06","-1.11","-1.13","-0.02 (-0.1, 0.07)","0.68","0.94"
"6","","HCZ Year 2","826","-0.54","0.06","-1.42","-1.52","-0.1 (-0.18, -0.01)","0.03","0.46"
"7","","","","","","","","","",""
"8","Ln CRP","LAZ Year 2","1296","-1.17","0.59","-1.33","-1.41","-0.07 (-0.15, 0)","0.06","0.46"
"9","","WAZ Year 2","1342","-1.17","0.62","-1.61","-1.66","-0.05 (-0.09, 0)","0.06","0.46"
"10","","WLZ Year 2","1366","-1.17","0.64","-1.16","-1.17","0 (-0.07, 0.06)","0.94","1"
"11","","HCZ Year 2","1362","-1.17","0.64","-1.49","-1.54","-0.04 (-0.09, 0)","0.04","0.46"
