"","name","Outcome","N","25th Percentile","75th Percentile","Outcome, 75th Percentile v. 25th Percentile"," "," "," "
"1"," "," "," "," "," ","Adjusted"," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value"
"3","Ln Pro-inflammatory cytokines/IL-10","Change in LAZ Year 1 to Year 2","519","0.96","1.55","-0.2","-0.2","-0.01 (-0.05, 0.04)","0.82"
"4","","Change in WAZ Year 1 to Year 2","522","0.96","1.55","-0.27","-0.32","-0.04 (-0.11, 0.03)","0.22"
"5","","Change in WLZ Year 1 to Year 2","516","0.96","1.55","0","-0.02","-0.02 (-0.17, 0.13)","0.83"
"6","","Change in HCZ Year 1 to Year 2","496","0.96","1.54","-0.13","-0.19","-0.06 (-0.14, 0.03)","0.19"
"7","","","","","","","","",""
"8","Ln IL-2/IL-10","Change in LAZ Year 1 to Year 2","514","-3.21","-1.93","-0.18","-0.2","-0.02 (-0.07, 0.03)","0.49"
"9","","Change in WAZ Year 1 to Year 2","517","-3.2","-1.92","-0.31","-0.32","-0.02 (-0.06, 0.03)","0.48"
"10","","Change in WLZ Year 1 to Year 2","511","-3.21","-1.93","-0.11","-0.13","-0.02 (-0.09, 0.04)","0.49"
"11","","Change in HCZ Year 1 to Year 2","492","-3.17","-1.92","-0.22","-0.14","0.08 (-0.06, 0.22)","0.25"
"12","","","","","","","","",""
"13","Ln GM-CSF/IL-10","Change in LAZ Year 1 to Year 2","522","1.17","2.35","-0.22","-0.17","0.06 (0.01, 0.11)","0.02"
"14","","Change in WAZ Year 1 to Year 2","525","1.17","2.34","-0.33","-0.31","0.03 (-0.02, 0.08)","0.31"
"15","","Change in WLZ Year 1 to Year 2","519","1.17","2.34","-0.13","-0.04","0.1 (-0.07, 0.26)","0.27"
"16","","Change in HCZ Year 1 to Year 2","499","1.18","2.34","-0.17","-0.16","0 (-0.07, 0.08)","0.94"
"17","","","","","","","","",""
"18","Ln Th1/IL-10","Change in LAZ Year 1 to Year 2","521","0.86","1.35","-0.19","-0.19","0 (-0.04, 0.04)","0.92"
"19","","Change in WAZ Year 1 to Year 2","524","0.86","1.35","-0.31","-0.32","-0.01 (-0.05, 0.03)","0.61"
"20","","Change in WLZ Year 1 to Year 2","518","0.86","1.35","-0.04","-0.15","-0.11 (-0.28, 0.07)","0.23"
"21","","Change in HCZ Year 1 to Year 2","498","0.85","1.35","-0.18","-0.14","0.03 (-0.01, 0.07)","0.11"
"22","","","","","","","","",""
"23","Ln Th2/IL-10","Change in LAZ Year 1 to Year 2","520","0.51","1.21","-0.19","-0.2","-0.01 (-0.06, 0.04)","0.68"
"24","","Change in WAZ Year 1 to Year 2","523","0.5","1.21","-0.31","-0.32","-0.01 (-0.05, 0.03)","0.67"
"25","","Change in WLZ Year 1 to Year 2","517","0.5","1.21","-0.07","-0.09","-0.02 (-0.1, 0.05)","0.55"
"26","","Change in HCZ Year 1 to Year 2","497","0.5","1.21","-0.2","-0.07","0.13 (-0.01, 0.26)","0.07"
"27","","","","","","","","",""
"28","Ln Th17/IL-10","Change in LAZ Year 1 to Year 2","514","0.35","1.07","-0.21","-0.21","-0.01 (-0.05, 0.04)","0.75"
"29","","Change in WAZ Year 1 to Year 2","517","0.34","1.07","-0.31","-0.32","0 (-0.05, 0.04)","0.85"
"30","","Change in WLZ Year 1 to Year 2","511","0.35","1.05","-0.11","-0.12","-0.01 (-0.08, 0.05)","0.67"
"31","","Change in HCZ Year 1 to Year 2","491","0.35","1.07","-0.12","-0.18","-0.06 (-0.14, 0.02)","0.11"
"32","","","","","","","","",""
"33","Ln Th1/Th2","Change in LAZ Year 1 to Year 2","520","0.03","0.5","-0.19","-0.18","0.01 (-0.04, 0.05)","0.81"
"34","","Change in WAZ Year 1 to Year 2","523","0.03","0.5","-0.31","-0.31","-0.01 (-0.06, 0.04)","0.78"
"35","","Change in WLZ Year 1 to Year 2","517","0.03","0.5","-0.11","-0.12","-0.01 (-0.09, 0.06)","0.77"
"36","","Change in HCZ Year 1 to Year 2","497","0.04","0.5","-0.19","-0.15","0.04 (0, 0.09)","0.06"
"37","","","","","","","","",""
"38","Ln Th1/Th17","Change in LAZ Year 1 to Year 2","514","0.18","0.7","-0.21","-0.2","0.01 (-0.03, 0.05)","0.65"
"39","","Change in WAZ Year 1 to Year 2","517","0.18","0.7","-0.25","-0.32","-0.08 (-0.21, 0.06)","0.26"
"40","","Change in WLZ Year 1 to Year 2","511","0.18","0.7","-0.04","-0.08","-0.04 (-0.21, 0.14)","0.68"
"41","","Change in HCZ Year 1 to Year 2","491","0.18","0.69","-0.11","-0.11","0 (-0.12, 0.12)","0.96"
"42","","","","","","","","",""
"43","Ln IFN-y","Change in LAZ Year 1 to Year 2","523","1.74","2.35","-0.25","-0.25","0 (-0.12, 0.12)","0.98"
"44","","Change in WAZ Year 1 to Year 2","526","1.73","2.35","-0.33","-0.3","0.03 (-0.02, 0.07)","0.3"
"45","","Change in WLZ Year 1 to Year 2","520","1.73","2.35","-0.14","-0.09","0.05 (-0.02, 0.12)","0.15"
"46","","Change in HCZ Year 1 to Year 2","500","1.73","2.35","-0.17","-0.14","0.03 (-0.02, 0.09)","0.2"
"47","","","","","","","","",""
"48","Sum score of 13 cytokines","Change in LAZ Year 1 to Year 2","523","-0.63","0.71","-0.22","-0.22","0 (-0.12, 0.12)","0.96"
"49","","Change in WAZ Year 1 to Year 2","526","-0.63","0.69","-0.33","-0.29","0.04 (-0.02, 0.09)","0.2"
"50","","Change in WLZ Year 1 to Year 2","520","-0.63","0.7","-0.12","-0.06","0.06 (-0.01, 0.14)","0.09"
"51","","Change in HCZ Year 1 to Year 2","500","-0.63","0.68","-0.15","-0.15","0 (-0.08, 0.09)","0.94"
