"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Ln Pro-inflammatory cytokines/IL-10","Length velocity (cm/month) Year 1 to Year 2","520","0.96","1.55","0.81","0.8","0 (-0.01, 0.01)","0.5","0.83","0.8","0.8","0 (-0.01, 0.01)","0.66","0.88"
"4","","Weight velocity (kg/month) Year 1 to Year 2","522","0.96","1.55","0.15","0.15","0 (-0.01, 0)","0.05","0.6","0.15","0.15","0 (-0.01, 0)","0.06","0.81"
"5","","Head circumference velocity (cm/month) Year 1 to Year 2","520","0.96","1.55","0.15","0.14","-0.01 (-0.01, 0)","0.13","0.6","0.14","0.14","-0.01 (-0.01, 0)","0.1","0.81"
"6","","","","","","","","","","","","","","",""
"7","Ln IL-2/IL-10","Length velocity (cm/month) Year 1 to Year 2","515","-3.21","-1.93","0.81","0.8","0 (-0.01, 0.01)","0.36","0.73","0.8","0.8","0 (-0.01, 0.01)","0.95","0.97"
"8","","Weight velocity (kg/month) Year 1 to Year 2","517","-3.2","-1.92","0.15","0.15","0 (-0.01, 0)","0.29","0.62","0.15","0.15","0 (-0.01, 0)","0.34","0.81"
"9","","Head circumference velocity (cm/month) Year 1 to Year 2","515","-3.21","-1.93","0.14","0.16","0.02 (0, 0.03)","0.06","0.6","0.14","0.15","0.01 (0, 0.03)","0.16","0.81"
"10","","","","","","","","","","","","","","",""
"11","Ln GM-CSF/IL-10","Length velocity (cm/month) Year 1 to Year 2","523","1.17","2.35","0.81","0.8","0 (-0.02, 0.01)","0.66","0.83","0.8","0.81","0.01 (0, 0.02)","0.1","0.81"
"12","","Weight velocity (kg/month) Year 1 to Year 2","525","1.17","2.34","0.15","0.15","0 (0, 0.01)","0.11","0.6","0.15","0.15","0 (0, 0.01)","0.23","0.81"
"13","","Head circumference velocity (cm/month) Year 1 to Year 2","523","1.17","2.35","0.15","0.14","-0.01 (-0.02, 0)","0.15","0.6","0.14","0.14","0 (-0.01, 0.01)","0.45","0.81"
"14","","","","","","","","","","","","","","",""
"15","Ln Th1/IL-10","Length velocity (cm/month) Year 1 to Year 2","522","0.86","1.35","0.81","0.81","0 (-0.01, 0.01)","0.67","0.83","0.8","0.8","0 (-0.01, 0.01)","0.7","0.88"
"16","","Weight velocity (kg/month) Year 1 to Year 2","524","0.86","1.35","0.15","0.15","0 (0, 0)","0.19","0.6","0.15","0.15","0 (-0.01, 0)","0.21","0.81"
"17","","Head circumference velocity (cm/month) Year 1 to Year 2","522","0.86","1.35","0.14","0.15","0 (0, 0.01)","0.22","0.6","0.14","0.14","0 (0, 0.01)","0.36","0.81"
"18","","","","","","","","","","","","","","",""
"19","Ln Th2/IL-10","Length velocity (cm/month) Year 1 to Year 2","521","0.5","1.21","0.8","0.81","0 (-0.01, 0.01)","0.63","0.83","0.8","0.8","0 (-0.02, 0.01)","0.71","0.88"
"20","","Weight velocity (kg/month) Year 1 to Year 2","523","0.5","1.21","0.15","0.15","0 (-0.01, 0)","0.25","0.61","0.15","0.15","0 (-0.01, 0)","0.37","0.81"
"21","","Head circumference velocity (cm/month) Year 1 to Year 2","521","0.5","1.21","0.14","0.15","0.01 (0, 0.02)","0.17","0.6","0.14","0.14","0 (0, 0.01)","0.57","0.88"
"22","","","","","","","","","","","","","","",""
